entity_id,ticker,historical_ticker,cik,company_name,sector,industry,selection_date,market_cap_at_selection,entry_date,exit_date,delisting_date,mapping_source,mapping_available_time_utc
CIK0000320193,AAPL,AAPL,0000320193,Apple Inc.,Information Technology,Technology Hardware,2016-01-01,91,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000789019,MSFT,MSFT,0000789019,Microsoft Corporation,Information Technology,Software,2016-01-01,90,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001045810,NVDA,NVDA,0001045810,NVIDIA Corporation,Information Technology,Semiconductors,2016-01-01,89,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001652044,GOOGL,GOOGL,0001652044,Alphabet Inc.,Communication Services,Interactive Media,2016-01-01,88,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001018724,AMZN,AMZN,0001018724,"Amazon.com, Inc.",Consumer Discretionary,Broadline Retail,2016-01-01,87,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001326801,META,META,0001326801,"Meta Platforms, Inc.",Communication Services,Interactive Media,2016-01-01,86,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001730168,AVGO,AVGO,0001730168,Broadcom Inc.,Information Technology,Semiconductors,2016-01-01,85,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001318605,TSLA,TSLA,0001318605,"Tesla, Inc.",Consumer Discretionary,Automobiles,2016-01-01,84,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000019617,JPM,JPM,0000019617,JPMorgan Chase & Co.,Financials,Banks,2016-01-01,83,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000104169,WMT,WMT,0000104169,Walmart Inc.,Consumer Staples,Consumer Staples Distribution,2016-01-01,82,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000059478,LLY,LLY,0000059478,Eli Lilly and Company,Health Care,Pharmaceuticals,2016-01-01,81,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001403161,V,V,0001403161,Visa Inc.,Financials,Transaction & Payment Processing,2016-01-01,80,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001341439,ORCL,ORCL,0001341439,Oracle Corporation,Information Technology,Software,2016-01-01,79,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001141391,MA,MA,0001141391,Mastercard Incorporated,Financials,Transaction & Payment Processing,2016-01-01,78,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000034088,XOM,XOM,0000034088,Exxon Mobil Corporation,Energy,Oil Gas & Consumable Fuels,2016-01-01,77,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000909832,COST,COST,0000909832,Costco Wholesale Corporation,Consumer Staples,Consumer Staples Distribution,2016-01-01,76,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000354950,HD,HD,0000354950,"The Home Depot, Inc.",Consumer Discretionary,Specialty Retail,2016-01-01,75,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000080424,PG,PG,0000080424,The Procter & Gamble Company,Consumer Staples,Household Products,2016-01-01,74,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000200406,JNJ,JNJ,0000200406,Johnson & Johnson,Health Care,Pharmaceuticals,2016-01-01,73,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001065280,NFLX,NFLX,0001065280,"Netflix, Inc.",Communication Services,Entertainment,2016-01-01,72,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001551152,ABBV,ABBV,0001551152,AbbVie Inc.,Health Care,Biotechnology,2016-01-01,71,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000070858,BAC,BAC,0000070858,Bank of America Corporation,Financials,Banks,2016-01-01,70,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000021344,KO,KO,0000021344,The Coca-Cola Company,Consumer Staples,Beverages,2016-01-01,69,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001108524,CRM,CRM,0001108524,"Salesforce, Inc.",Information Technology,Software,2016-01-01,68,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000093410,CVX,CVX,0000093410,Chevron Corporation,Energy,Oil Gas & Consumable Fuels,2016-01-01,67,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000002488,AMD,AMD,0000002488,"Advanced Micro Devices, Inc.",Information Technology,Semiconductors,2016-01-01,66,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000310158,MRK,MRK,0000310158,"Merck & Co., Inc.",Health Care,Pharmaceuticals,2016-01-01,65,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000858877,CSCO,CSCO,0000858877,"Cisco Systems, Inc.",Information Technology,Communications Equipment,2016-01-01,64,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000077476,PEP,PEP,0000077476,"PepsiCo, Inc.",Consumer Staples,Beverages,2016-01-01,63,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000097745,TMO,TMO,0000097745,Thermo Fisher Scientific Inc.,Health Care,Life Sciences Tools,2016-01-01,62,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000063908,MCD,MCD,0000063908,McDonald's Corporation,Consumer Discretionary,Restaurants,2016-01-01,61,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000001800,ABT,ABT,0000001800,Abbott Laboratories,Health Care,Health Care Equipment,2016-01-01,60,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
