ticker,labels_total,eligible_oos_labels,predicted_unique_labels,predicted_eligible_oos_labels,raw_label_coverage,eligible_oos_coverage,top_failure_stage
ABBV,30,15,15,15,0.5,1.0,not_oos_expected
ABT,30,15,15,15,0.5,1.0,not_oos_expected
ADBE,30,15,15,15,0.5,1.0,not_oos_expected
AEP,30,15,15,15,0.5,1.0,not_oos_expected
AMT,30,15,15,15,0.5,1.0,not_oos_expected
APD,30,13,13,13,0.43333333333333335,1.0,not_oos_expected
AXP,30,15,15,15,0.5,1.0,not_oos_expected
BAC,30,15,15,15,0.5,1.0,not_oos_expected
CAT,30,15,15,15,0.5,1.0,not_oos_expected
CMCSA,30,15,15,15,0.5,1.0,not_oos_expected
COP,30,15,15,15,0.5,1.0,not_oos_expected
COST,30,15,15,15,0.5,1.0,not_oos_expected
CRM,30,15,15,15,0.5,1.0,not_oos_expected
CSCO,30,15,15,15,0.5,1.0,not_oos_expected
CVX,30,15,15,15,0.5,1.0,not_oos_expected
DUK,30,15,15,15,0.5,1.0,not_oos_expected
EOG,30,15,15,15,0.5,1.0,not_oos_expected
FCX,30,15,15,15,0.5,1.0,not_oos_expected
GE,30,15,15,15,0.5,1.0,not_oos_expected
GS,30,15,15,15,0.5,1.0,not_oos_expected
HD,30,15,15,15,0.5,1.0,not_oos_expected
HON,30,15,15,15,0.5,1.0,not_oos_expected
IBM,30,15,15,15,0.5,1.0,not_oos_expected
JNJ,30,15,15,15,0.5,1.0,not_oos_expected
JPM,30,15,15,15,0.5,1.0,not_oos_expected
KO,30,15,15,15,0.5,1.0,not_oos_expected
LLY,30,15,15,15,0.5,1.0,not_oos_expected
MA,30,15,15,15,0.5,1.0,not_oos_expected
MCD,30,15,15,15,0.5,1.0,not_oos_expected
META,30,15,15,15,0.5,1.0,not_oos_expected
MRK,30,15,15,15,0.5,1.0,not_oos_expected
MS,30,15,15,15,0.5,1.0,not_oos_expected
MSFT,30,15,15,15,0.5,1.0,not_oos_expected
NEE,30,15,15,15,0.5,1.0,not_oos_expected
NEM,30,15,15,15,0.5,1.0,not_oos_expected
NFLX,30,15,15,15,0.5,1.0,not_oos_expected
NKE,30,15,15,15,0.5,1.0,not_oos_expected
ORCL,30,15,15,15,0.5,1.0,not_oos_expected
OXY,30,15,15,15,0.5,1.0,not_oos_expected
PEP,30,15,15,15,0.5,1.0,not_oos_expected
PFE,30,15,15,15,0.5,1.0,not_oos_expected
PLD,30,15,15,15,0.5,1.0,not_oos_expected
SBUX,30,13,13,13,0.43333333333333335,1.0,not_oos_expected
SHW,30,15,15,15,0.5,1.0,not_oos_expected
SO,30,15,15,15,0.5,1.0,not_oos_expected
UNP,30,15,15,15,0.5,1.0,not_oos_expected
UPS,30,15,15,15,0.5,1.0,not_oos_expected
V,30,13,13,13,0.43333333333333335,1.0,not_oos_expected
WFC,30,15,15,15,0.5,1.0,not_oos_expected
XOM,30,15,15,15,0.5,1.0,not_oos_expected
